CODE,NAME
B19.9,Неуточненный вирусный гепатит без
B94.2,Отдаленные последствия вирусного
B21,"Болезнь, вызванная вирусом иммунодефицита"
B22,"Болезнь, вызванная вирусом иммунодефицита"
B23,"Болезнь, вызванная вирусом иммунодефицита"
B24,"Болезнь, вызванная вирусом иммунодефицита"
Z21,"Бессимптомный инфекционный статус,"
B26.9,Эпидемический паротит неосложненный
B26.8,Эпидемический паротит с другими осложнениями
B27.9,Инфекционный мононуклеоз неуточненный
B30.0,"Кератоконъюнктивит, вызванный аденовирусом"
B30.1,"Конъюнктивит, вызванный аденовирусом ()"
B30.2,Вирусный фарингоконъюнктивит
B30.3,Острый эпидемический геморрагический
B30.8,Другой вирусный конъюнктивит ()
B30.9,Вирусный конъюнктивит неуточненный
B34.0,Аденовирусная инфекция неуточненная
B34.1,Энтеровирусная инфекция неуточненная
B34.2,Коронавирусная инфекция неуточненная
B34.3,Парвовирусная инфекция неуточненная
B34.4,Паповавирусная инфекция неуточненная
B34.8,Другие вирусные инфекции неуточненной локализации
B34.9,Вирусная инфекция неуточненная
B55.0,Висцеральный лейшманиоз
B55.1,Кожный лейшманиоз
B55.2,Кожно-слизистый лейшманиоз
B55.9,Лейшманиоз неуточненный
А15.0,"Туберкулез легких, подтвержденный бактериоскопически с наличием или отсутствием роста культуры Туберкулез легких, подтвержденный только ростом культуры Туберкулез легких, подтвержденный гистологически Туберкулез легких, подтвержденный неуточненными методами Туберкулез внутригрудных лимфатических узлов, подтвержденный бактериологически и гистологически Туберкулез гортани, трахеи и бронхов, подтвержденный бактериологически и гистологически Туберкулезный плеврит, подтвержденный бактериологически и гистологически Первичный туберкулез органов дыхания, подтвержденный бактериологически и гистологически Туберкулез других органов дыхания, подтвержденный бактериологически и гистологически Туберкулез органов дыхания неуточненной локализации, подтвержденный бактериологически и гистологически"
А16,"Туберкулез органов дыхания, не подтвержденный бактериологически или гистологически"
А16.0,"Туберкулез легких при отрицательных результатах бактериологических и гистологических исследований Туберкулез легких без проведения бактериологического и гистологического исследований Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении Туберкулез внутригрудных лимфатических узлов без упоминания о бактериологическом или гистологическом подтверждении Туберкулез гортани, трахеи и бронхов без упоминания о бактериологическом или гистологическом подтверждении Туберкулезный плеврит без упоминания о бактериологическом или гистологическом подтверждении Первичный туберкулез органов дыхания без упоминания о бактериологическом или гистологическом подтверждении Туберкулез других органов дыхания без упоминания о бактериологическом или гистологическом подтверждении Туберкулез органов дыхания неуточненной локализации без упоминания о бактериологическом или гистологическом подтверждении"
А17,Туберкулез нервной системы
А17.0,Туберкулезный менингит Менингеальная туберкулема Туберкулез нервной системы других локализаций Туберкулез нервной системы неуточненный
А18,Туберкулез других органов
А18.0,"Туберкулез костей и суставов Туберкулез мочеполовых органов Туберкулезная периферическая лимфаденопатия Туберкулез кишечника, брюшины и брыжеечных лимфатических узлов Туберкулез кожи и подкожной клетчатки Туберкулез глаза Туберкулез уха Туберкулез надпочечников Туберкулез других уточненных органов"
А19,Милиарный туберкулез
А19.0,Острый милиарный туберкулез одной уточненной локализации Острый милиарный туберкулез множественной локализации Острый милиарный туберкулез неуточненной локализации Другие формы милиарного туберкулеза Милиарный туберкулез неуточненной локализации
A15.0,"Туберкулез легких, подтвержденный бактериоскопически с наличием или отсутствием роста культуры"
A15.1,"Туберкулез легких, подтвержденный только ростом культуры"
A15.2,"Туберкулез легких, подтвержденный гистологически"
A15.3,"Туберкулез легких, подтвержденный неуточненными методами"
A15.4,"Туберкулез внутригрудных лимфатических узлов, подтвержденный бактериологически и гистологически"
A15.5,"Туберкулез гортани, трахеи и бронхов, подтвержденный бактериологически и гистологически"
A15.6,"Туберкулезный плеврит, подтвержденный бактериологически и гистологически"
A15.7,"Первичный туберкулез органов дыхания, подтвержденный бактериологически и гистологически"
A15.8,"Туберкулез других органов дыхания, подтвержденный бактериологически и гистологически"
A15.9,"Туберкулез органов дыхания неуточненной локализации, подтвержденный бактериологически и гистологически Туберкулез органов дыхания, не подтвержденный бактериологически или гистологически"
A16.0,Туберкулез легких при отрицательных результатах бактериологических и гистологических исследований
A16.1,Туберкулез легких без проведения бактериологического и гистологического исследований
A16.2,Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении
A16.3,Туберкулез внутригрудных лимфатических узлов без упоминания о бактериологическом или гистологическом подтверждении
A16.4,"Туберкулез гортани, трахеи и бронхов без упоминания о бактериологическом или гистологическом подтверждении"
A16.5,Туберкулезный плеврит без упоминания о бактериологическом или гистологическом подтверждении
A16.7,Первичный туберкулез органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
A16.8,Туберкулез других органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
A16.9,Туберкулез органов дыхания неуточненной локализации без упоминания о бактериологическом или гистологическом подтверждении Туберкулез нервной системы
A17.0,Туберкулезный менингит (*)
A17.1,Менингеальная туберкулема (*)
A17.8,Туберкулез нервной системы других локализаций
A17.9,Туберкулез нервной системы неуточненный (*) Туберкулез других органов
A18.0,Туберкулез костей и суставов
A18.1,Туберкулез мочеполовых органов
A18.2,Туберкулезная периферическая лимфаденопатия
A18.3,"Туберкулез кишечника, брюшины и брыжеечных лимфатических узлов"
A18.4,Туберкулез кожи и подкожной клетчатки
A18.5,Туберкулез глаза
A18.6,Туберкулез уха
A18.7,Туберкулез надпочечников (*)
A18.8,Туберкулез других уточненных органов Милиарный туберкулез
A19.0,Острый милиарный туберкулез одной уточненной локализации
A19.1,Острый милиарный туберкулез множественной локализации
A19.2,Острый милиарный туберкулез неуточненной локализации
A19.8,Другие формы милиарного туберкулеза
A19.9,Милиарный туберкулез неуточненной локализации
A51,Ранний сифилис
A52,Поздний сифилис
A53,Другие и неуточненные формы сифилиса
А63.0,Аногенитальные (венерические) бородавки
C22,Злокачественное новообразование печени
C38,"Злокачественное новообразование сердца, средостения и плевры"
C48,Злокачественное новообразование забрюшинного пространства и брюшины
C49,Злокачественное новообразование других типов соединительной и мягких тканей
C74,Злокачественное новообразование надпочечника
С43,Злокачественная меланома кожи
C50,Злокачественное новообразование молочной
С50,Злокачественное новообразование молочной железы
C79.2,Вторичное злокачественное новообразование кожи
C56,Злокачественное новообразование яичника
C62,Злокачественное новообразование яичка
C74.0,Коры надпочечника
D27,Доброкачественное новообразование
D29.2,Яичка
D35.0,Надпочечника
E03.9,Гипотиреоз неуточненный
E22.8,Другие состояния гиперфункции гипофиза
E25,Адреногенитальные расстройства
E25.9,Адреногенитальное нарушение неуточненное
E27.0,Другие виды гиперсекреции коры
E28.0,Избыток эстрогенов
E28.1,Избыток андрогенов
E29.0,Гиперфункция яичек
E29.9,Дисфункция яичек неуточненная
E30.1,Преждевременное половое созревание
E30.8,Другие нарушения полового созревания
E30.9,Нарушение полового созревания
E35.8,Нарушения других эндокринных желез при
Q78.1,Полиостозная фиброзная дисплазия
Y42.4,Пероральные контрацептивы
Y42.5,Другие эстрогены и прогестогены
Y42.7,Андрогены и их анаболические аналоги
Y42.8,Другие и неуточненные гормоны и их
Y42.9,Другие и неуточненные антагонисты
C64,"Злокачественное новообразование почки,"
C69.2,Сетчатки
D10.6,Носоглотки
D35,Доброкачественное новообразование других и неуточненных эндокринных желез
D39,Новообразования неопределенного или неизвестного характера женских половых органов
D39.1,Яичника
E25.0,"Врожденные адреногенитальные нарушения, связанные с дефицитом ферментов"
E25.8,Другие адреногенитальные нарушения
E28.3,Первичная яичниковая недостаточность
E28.8,Другие виды дисфункции яичников
E28.9,Дисфункция яичников неуточненная
E29.1,Гипофункция яичек
E29.8,Другие виды дисфункции яичек
E34.5,Синдром андрогенной резистентности
Q55.1,Гипоплазия яичка и мошонки
Q55.6,Другие врожденные аномалии полового члена
Q55.8,Другие уточненные врожденные аномалии мужских половых органов
Q55.9,Врожденная аномалия мужских половых органов неуточненная
Q56,Неопределенность пола и псевдогермафродитизм
Q56.0,"Гермафродитизм, не классифицированный в других рубриках"
Q56.1,"Мужской псевдогермафродитизм, не классифицированный в других рубриках"
Q56.2,"Женский псевдогермафродитизм, не классифицированный в других рубриках"
Q56.3,Псевдогермафродитизм неуточненный
Q56.4,Неопределенность пола неуточненная
Q97.3,"Женщина с 46,XY-кариотипом"
Q97.8,"Другие уточненные аномальные половые хромосомы, женский фенотип"
Q98.8,"Другие уточненные аномалии половых хромосом, мужской фенотип"
Q99.0,"Мозаик [химера] 46,XX/46,XY"
Q99.1,"46,XX истинный гермафродит"
Q99.8,Другие уточненные хромосомные аномалии
A09.05,142
C81,Болезнь Ходжкина [лимфогранулематоз]
C82,Фолликулярная [нодулярная] неходжкинская лимфома
C83,Диффузная неходжкинская лимфома
C84,Периферические и кожные T-клеточные лимфомы
C85,Другие и неуточненные типы неходжкинской лимфомы
C90.0,Множественная миелома
C91.0,Острый лимфобластный лейкоз
C91.1,Хронический лимфоцитарный лейкоз
C92.0,Острый миелоидный лейкоз
C92.1,Хронический миелоидный лейкоз
C92.4,Острый промиелоцитарный лейкоз
C92.5,Острый миеломоноцитарный лейкоз
C94.0,Острая эритремия и эритролейкоз
C94.2,Острый мегакариобластный лейкоз
C94.5,Острый миелофиброз
D46.0,"Рефрактерная анемия без сидеробластов, так обозначенная"
D46.1,Рефрактерная анемия с сидеробластами
D46.2,Рефрактерная анемия с избытком бластов
D46.3,Рефрактерная анемия с избытком бластов с трансформацией
D46.4,Рефрактерная анемия неуточненная
D46.7,Другие миелодиспластические синдромы
D46.9,Миелодиспластический синдром неуточненный
D59.4,Другие неаутоиммунные гемолитические анемии
D61.3,Идиопатическая апластическая анемия
С62,Злокачественное новообразование яичка
С38.1,"Злокачественное новообразование переднего средостения  Злокачественное новообразование заднего средостения  Злокачественное новообразование средостения неуточненной части  Злокачественное новообразование сердца, средостения и плевры, выходящее за пределы одной и более вышеуказанных локализаций  Злокачественное новообразование забрюшинного пространства  Поражение забрюшинного пространства и брюшины, выходящее за пределы одной и более вышеуказанных локализаций"
С56,Злокачественное новообразование яичника
С44,"Другие злокачественные новообразования кожи  Кожи губы  Кожи века, включая спайку век  Кожи уха и наружного слухового прохода  Кожи других и неуточненных частей лица  Кожи волосистой части головы и шеи  Кожи туловища  Кожи верхней конечности, включая область плечевого пояса  Кожи нижней конечности, включая тазобедренную область  Поражения кожи, выходящие за пределы одной и более вышеуказанных локализаций  Злокачественные новообразования кожи неуточненной области"
С48.0,Злокачественное новообразование забрюшинного пространства
С49.0,"Злокачественное новообразование соединительной и мягких тканей головы, лица и шеи"
С49.5,Злокачественное новообразование соединительной и мягких тканей таза
С49.9,Злокачественное новообразование соединительной и мягких тканей неуточненной локализации
C68.0,"Злокачественное новообразование уретры_________________ Международная статистическая классификация болезней и проблем, связанных со здоровьем, X пересмотра."
C22.1,Рак внутрипеченочного желчного протока Злокачественное новообразование желчного пузыря
C24.0,Злокачественное новообразование внепеченочного желчного протока
С49,Злокачественное новообразование других типов соединительной и мягких тканей
С15,Злокачественное новообразование пищевода
С16.0,Злокачественное новообразование кардии
С20,Злокачественное новообразование прямой кишки
С22.0,Печеночноклеточный рак
С51,Злокачественное новообразование вульвы
С60.9,Злокачественное новообразование полового члена неуточненной локализации
С63.2,Злокачественное новообразование мошонки
С69.0,Злокачественное новообразование конъюнктивы
D03,Меланома in situ
С30,Злокачественное новообразование полости носа и среднего уха
С31,Злокачественное новообразование придаточных пазух
С32,Злокачественное новообразование гортани
С52,Злокачественное новообразование влагалища
С53,Злокачественное новообразование шейки матки
С77,Вторичное и неуточненное злокачественное новообразование лимфатических узлов
С78,Вторичное злокачественное новообразование органов дыхания и пищеварения
С79,Вторичное злокачественное новообразование других локализаций
С07,Злокачественное новообразование околоушной слюнной железы
С08,Злокачественное новообразование других и неуточненных больших слюнных желез
C34,Злокачественное новообразование бронхов и легкого
C11,Злокачественное новообразование носоглотки
C54,Злокачественное новообразование тела матки
С54,Злокачественное новообразование тела матки
C48.0,Злокачественное новообразование забрюшинного пространства
C48.1,Злокачественное новообразование уточненных частей брюшины
C48.2,Злокачественное новообразование брюшины неуточненной части
C57,Злокачественное новообразование других и неуточненных женских половых органов
С25,"Злокачественное новообразование поджелудочной железы1. Медицинские услуги для диагностики заболевания, состояния"
C65,Злокачественное новообразование почечных лоханок
C66,Злокачественное новообразование мочеточника
D51,Витамин--дефицитная анемия
D56.0,Альфа-талассемия
D56.1,Бета-талассемия
D56.2,Дельта-бета-талассемия
D56.8,Другие талассемии
D56.9,Талассемия неуточненная
D58.2,Другие гемоглобинопатии
D63.0,"Анемия при новообразованиях1. Медицинские услуги для диагностики заболевания, состояния"
E03.0,Врожденный гипотиреоз с диффузным зобом
E03.1,Врожденный гипотиреоз без зоба
E07.1,Дисгормональный зоб
E05.0,Тиреотоксикоз с диффузным зобом
E05.1,Тиреотоксикоз с токсическим одноузловым зобом
E05.2,Тиреотоксикоз с токсическим многоузловым зобом
E05.3,Тиреотоксикоз с эктопией тиреоидной ткани
E05.8,Другие формы тиреотоксикоза
E05.9,Тиреотоксикоз неуточненный
E05.4,Тиреотоксикоз искусственный
E11.5,Инсулиннезависимый сахарный диабет с нарушениями периферического кровообращения
E10.5,Инсулинзависимый сахарный диабет с нарушениями периферического кровообращения
E13.5,Другие уточненные формы сахарного диабета с нарушениями периферического кровообращения
E14.5,Сахарный диабет неуточненный с нарушениями периферического кровообращения
E20,Гипопаратиреоз
E20.0,Идиопатический гипопаратиреоз
E20.1,Псевдогипопаратиреоз
E20.8,Другие формы гипопаратиреоза
E20.9,Гипопаратиреоз неуточненный
E31,Полигландулярная дисфункция
E31.9,Полигландулярная дисфункция неуточненная
E89.2,"Гипопаратироидизм, возникший после медицинских процедур"
E22.2,Синдром неадекватной секреции антидиуретического гормона
E87.1,Гипоосмолярность и гипонатриемия
E22.1,Гиперпролактинемия
E23.3,"Дисфункция гипоталамуса, не классифицированная в других рубриках"
E28,Дисфункция яичников
E28.2,Синдром поликистоза яичников
N91,"Отсутствие менструаций, скудные и редкие менструации"
N91.0,Первичная аменорея
N91.1,Вторичная аменорея
N91.3,Первичная олигоменорея
N91.4,Вторичная олигоменорея
E29,Дисфункция яичек
E89.5,"Гипофункция яичек, возникшая после медицинских процедур"
E30.0,Задержка полового созревания
E89.3,"Гипопитуитаризм, возникший после медицинских процедур"
Q50.0,Врожденное отсутствие яичника
Q87.1,"Синдромы врожденных аномалий, проявляющихся преимущественно карликовостью"
Q96,Синдром Тернера
E23.2,Несахарный диабет
N25.1,Нефрогенный несахарный диабет
E34.3,"Низкорослость [карликовость], не классифицированная в других рубриках"
Q96.0,"Кариотип 45,X"
Q96.1,"Кариотип 46,X iso (Xq)"
Q96.2,"Кариотип 46,X с аномальной половой хромосомой, за исключением iso (Xq)"
Q96.3,"Мозаицизм 45,X/46,XX или XY"
Q96.4,"Мозаицизм 45,X/другая клеточная линия (линии) с аномальной половой хромосомой"
Q96.8,Другие варианты синдрома Тернера
Q96.9,Синдром Тернера неуточненный
Q77.8,Другая остеохондродисплазия с дефектами роста трубчатых костей и позвоночного столба
Q77.9,Остеохондродисплазия с дефектами роста трубчатых костей и позвоночного столба неуточненная
E66,Ожирение
E66.0,"Ожирение, обусловленное избыточным"
E66.1,"Ожирение, вызванное приемом лекарственных"
E66.2,"Крайняя степень ожирения, сопровождаемая"
E66.8,Другие формы ожирения
E66.9,Ожирение неуточненное
E67,Другие виды избыточности питания
R73.0,Отклонения результатов нормы теста на
E70.0,Классическая фенилкетонурия
E70,Нарушение обмена ароматических аминокислот
E70.2,Нарушения обмена тирозина
E70.8,Другие нарушения обмена ароматических аминокислот
E71,Нарушение обмена аминокислот с разветвленной цепью и обмена жирных кислот
E71.0,"Болезнь ""кленового сиропа"""
E71.1,Другие виды нарушений обмена аминокислот с разветвленной цепью
E72,Другие нарушения обмена аминокислот
E72.1,Нарушения обмена серосодержащих аминокислот
E72.3,Нарушения обмена лизина и гидроксилизина
E75.2,Другие сфинголипидозы
Е75.2,Другие сфинголипидозы
E76.2,Другие мукополисахаридозы
E80.2,Другие порфирии
Е76.2,Другие мукополисахаридозы
Е76.1,"Мукополисахаридоз, тип II"
Е74.0,"Болезни накопления гликогена________________ Международная статистическая классификация болезней и проблем, связанных со здоровьем, X пересмотра."
E10.1,Инсулинзависимый сахарный диабет с кетоацидозом
E10.2,Инсулинзависимый сахарный диабет с поражениями почек  Инсулинзависимый сахарный диабет с поражениями глаз  Инсулинзависимый сахарный диабет с неврологическими проявлениями  Инсулинзависимый сахарный диабет с нарушениями периферического кровообращения  Инсулинзависимый сахарный диабет с другими уточненными осложнениями  Инсулинзависимый сахарный диабет с множественными осложнениями  Инсулинзависимый сахарный диабет с неуточненными осложнениями  Инсулинзависимый сахарный диабет без осложнений  Гипогликемия неуточненная
H36.0,Диабетическая ретинопатия  Инсулинзависимый сахарный диабет с поражениями глаз  Инсулинзависимый сахарный диабет с множественными осложнениями
E11.2,Инсулиннезависимый сахарный диабет с поражениями почек  Инсулиннезависимый сахарный диабет с поражениями глаз  Инсулиннезависимый сахарный диабет с неврологическими осложнениями  Инсулиннезависимый сахарный диабет с нарушениями периферического кровообращения  Инсулиннезависимый сахарный диабет с другими уточненными осложнениями  Инсулиннезависимый сахарный диабет с множественными осложнениями  Инсулиннезависимый сахарный диабет с неуточненными осложнениями  Инсулиннезависимый сахарный диабет без осложнений
E16.2,Гипогликемия неуточненная  Инсулиннезависимый сахарный диабет с поражениями почек  Инсулиннезависимый сахарный диабет с поражениями глаз  Инсулиннезависимый сахарный диабет с неврологическими осложнениями  Инсулиннезависимый сахарный диабет с нарушениями периферического кровообращения  Инсулиннезависимый сахарный диабет с другими уточненными осложнениями  Инсулиннезависимый сахарный диабет с множественными осложнениями  Инсулиннезависимый сахарный диабет с неуточненными осложнениями  Инсулиннезависимый сахарный диабет без осложнений
M14.2,Диабетическая артропатия  Невропатическая артропатия  Инсулиннезависимый сахарный диабет с неврологическими осложнениями  Инсулиннезависимый сахарный диабет с другими уточненными осложнениями  Инсулиннезависимый сахарный диабет с множественными осложнениями
N08.3,Гломерулярные поражения при сахарном диабете  Инсулиннезависимый сахарный диабет с поражениями почек  Инсулиннезависимый сахарный диабет с множественными осложнениями
R52.2,Другая постоянная боль  Инсулиннезависимый сахарный диабет с нарушениями периферического кровообращения  Инсулиннезависимый сахарный диабет с множественными осложнениями
Е84,Кистозный фиброз
F05,"Делирий, не вызванный алкоголем или другими психоактивными веществами"
F06.0,Органический галлюциноз
F06.1,Органическое кататоническое состояние
F06.2,Органическое бредовое [шизофреноподобное] расстройство
F06.8,"Другие уточненные психические расстройства, обусловленные повреждением и дисфункцией головного мозга или соматической болезнью"
F06.4,Органическое тревожное расстройство
F06.3,Органические расстройства настроения [аффективные]
F10.3,"Абстинентное состояние, вызванное употреблением алкоголя"
F11.3,"Абстинентное состояние, вызванное употреблением опиоидов"
F12.3,"Абстинентное состояние, вызванное употреблением каннабиоидов"
F13.3,"Абстинентное состояние, вызванное употреблением седативных или снотворных веществ"
F14.3,"Абстинентное состояние, вызванное употреблением кокаина"
F15.3,"Абстинентное состояние, вызванное употреблением других стимуляторов, включая кофеин"
F16.3,"Абстинентное состояние, вызванное употреблением галлюциногенов"
F18.3,"Абстинентное состояние, вызванное употреблением летучих растворителей"
F19.3,"Абстинентное состояние, вызванное одновременным употреблением нескольких наркотических средств и использованием других психоактивных веществ"
F10.4,"Абстинентное состояние с делирием, вызванное"
F11.4,"Абстинентное состояние с делирием, вызванное"
F12.4,"Абстинентное состояние с делирием, вызванное"
F13.4,"Абстинентное состояние с делирием, вызванное"
F14.4,"Абстинентное состояние с делирием, вызванное"
F15.4,"Абстинентное состояние с делирием, вызванное"
F16.4,"Абстинентное состояние с делирием, вызванное"
F18.4,"Абстинентное состояние с делирием, вызванное"
F19.4,"Абстинентное состояние с делирием, вызванное"
F20,Шизофрения
F30.1,Мания без психотических симптомов
F31.3,"Биполярное аффективное расстройство, текущий эпизод легкой или умеренной депрессии"
F32.1,Депрессивный эпизод средней степени
F33.1,"Рекуррентное депрессивное расстройство, текущий эпизод средней степени"
F31.4,"Биполярное аффективное расстройство, текущий эпизод тяжелой депрессии без психотических симптомов"
F32.2,Депрессивный эпизод тяжелой степени без психотических симптомов
F33.2,"Рекуррентное депрессивное расстройство, текущий эпизод тяжелой степени без психотических симптомов"
F40.0,Агорафобия
F60,Специфические расстройства личности
F84.0,Детский аутизм
F84.1,Атипичный аутизм
F84.2,Синдром Ретта
F84.3,Другое дезинтегративное расстройство детского возраста
G06,Внутричерепной и внутрипозвоночный абсцесс и гранулема
G07,"Внутричерепной и внутрипозвоночный абсцесс и гранулема при болезнях, классифицированных в других рубриках"
G24.0,"Дистония, вызванная лекарственными средствами"
G24.1,Идиопатическая семейная дистония
G24.2,Идиопатическая несемейная дистония
G24.3,Спастическая кривошея
G24.4,Идиопатическая рото-лицевая дистония
G24.5,Блефароспазм
G24.8,Прочие дистонии
G24.9,Дистония неуточненная
G25.0,Эссенциальный тремор
G25.1,"Тремор, вызванный лекарственным средством"
G25.2,Другие уточненные формы тремора
G25.3,Миоклонус
G25.4,"Хорея, вызванная лекарственным средством"
G25.5,Другие виды хореи
G25.6,"Тики, вызванные лекарственными средствами, и другие тики органического происхождения"
G25.8,Другие уточненные экстрапирамидные и двигательные нарушения
G25.9,Экстрапирамидное и двигательное расстройство неуточненное
G26,"Экстрапирамидные и двигательные нарушения при болезнях, классифицированных в других рубриках"
G35,Рассеянный склероз
G36,Другая форма острой диссеминированной
G36.1,Острый и подострый геморрагический
G36.8,Другая уточненная форма острой
G40.0,Локализованная (фокальная) (парциальная) идиопатическая эпилепсия и эпилептические синдромы с судорожными припадками с фокальным началом
G40.1,Локализованная (фокальная) (парциальная) симптоматическая эпилепсия и эпилептические синдромы с простыми парциальными припадками
G40.2,Локализованная (фокальная) (парциальная) симптоматическая эпилепсия и эпилептические синдромы с комплексными парциальными судорожными припадками
G40.3,Генерализованная идиопатическая эпилепсия и эпилептические синдромы
G40.4,Другие виды генерализованной эпилепсии и эпилептических синдромов
G40.5,Особые эпилептические синдромы
G40.6,Припадки grand mal неуточненные (с малыми припадками [petit mal] или без них)
G40.7,Малые припадки [petit mal] неуточненные без припадков grand mal
G40.8,Другие уточненные формы эпилепсии
G40.9,Эпилепсия неуточненная
G43.0,Мигрень без ауры [простая мигрень]
G43.1,Мигрень с аурой [классическая мигрень]
G43.2,Мигренозный статус
G43.3,Осложненная мигрень
