MKB_CODE,RECOMMENDATIONS
A03.3,Консультация эпидемиолога$Яйца глистов в кале$Цитология мазка-отпечатка кожного новообразования$Посев крови на аэробные и анаэробные бактерии$Посев кала$Копрограмма$УЗИ органов брюшной полости$Исследования среды$Измерение АД$Электрофорез лекарственный$Общие лечебные ванны$Микроклизма$Пальпация мышц$Исследование пульса
A03.9,Консультация эпидемиолога$Яйца глистов в кале$Цитология мазка-отпечатка кожного новообразования$Посев крови на аэробные и анаэробные бактерии$Посев кала$Копрограмма$УЗИ органов брюшной полости$Исследования среды$Измерение АД$Электрофорез лекарственный$Общие лечебные ванны$Микроклизма$Пальпация мышц$Исследование пульса
A04.0,Консультация физиотерапевта$Консультация педиатра$Консультация невролога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A04.1,Консультация физиотерапевта$Консультация педиатра$Консультация невролога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A04.2,Консультация физиотерапевта$Консультация педиатра$Консультация невролога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A04.3,Консультация физиотерапевта$Консультация педиатра$Консультация невролога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A04.4,Консультация физиотерапевта$Консультация педиатра$Консультация невролога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A04.5,Консультация хирурга$Консультация физиотерапевта$Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Коагулограмма$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Эхокардиография (ЭхоКГ)$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A04.6,Консультация хирурга$Консультация педиатра$Консультация отоларинголога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Общий анализ крови$Исследования мочи$Исследования кала$АСЛ-О$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A04.7,
A04.8,Консультация хирурга$Консультация педиатра$Консультация отоларинголога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Общий анализ крови$Исследования мочи$Исследования кала$АСЛ-О$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A04.9,Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A05.0,Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A05.1,Цитологические и гистологические исследования$Калий крови$Иммуногистохимическое исследование материала$Электромиография (ЭМГ)$Исследование голосовой функции$Пульс-терапия метилпреднизолоном$Плазмаферез мембранный$Исследование мышц$$Визуальное исследование мышц$Подкожная инъекция$Постановка функционального диагноза
A05.2,Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A05.3,Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A05.4,Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A05.8,Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A05.9,Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Определение чувствительности микроорганизмов к бактериофагам$Электрокардиография (ЭКГ)$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A06.0,Консультация хирурга$Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Белковые фракции крови$Анализ кала на скрытую кровь$Электрокардиография (ЭКГ)$УЗИ почек$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A06.1,Консультация хирурга$Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Белковые фракции крови$Анализ кала на скрытую кровь$Электрокардиография (ЭКГ)$УЗИ почек$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A06.2,Консультация хирурга$Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Белковые фракции крови$Анализ кала на скрытую кровь$Электрокардиография (ЭКГ)$УЗИ почек$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A06.3,
A06.4,
A06.7,Консультация хирурга$Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Белковые фракции крови$Анализ кала на скрытую кровь$Электрокардиография (ЭКГ)$УЗИ почек$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A06.8,
A06.9,Консультация хирурга$Консультация педиатра$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Определение чувствительности патогена к антибиотикам$Общий анализ крови$Исследования мочи$Исследования кала$Белковые фракции крови$Анализ кала на скрытую кровь$Электрокардиография (ЭКГ)$УЗИ почек$УЗИ органов брюшной полости$УЗИ лимфатических узлов$Электрофорез лекарственный
A07.0,Консультация эпидемиолога$Цитология мазка-отпечатка кожного новообразования$Полимеразная цепная реакция (ПЦР-диагностика)$Копрограмма$Диагностика туберкулеза$Диагностика паразитарных инвазий$Диагностика бактериальных инфекций$Антропометрия с расчетом ИМТ$$Эндоскопия ЖКТ$УЗИ органов брюшной полости$Измерение АД$Лечебная физкультура (ЛФК)$Исследование пульса$Антропометрические исследования
A07.1,
A07.2,
A07.3,
A07.8,
A08.0,Консультация физиотерапевта$Консультация педиатра$Консультация невролога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Электрокардиография (ЭКГ)$УЗИ поджелудочной железы$УЗИ печени$УЗИ желчного пузыря$Электрофорез лекарственный
A08.1,Консультация физиотерапевта$Консультация педиатра$Консультация невролога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Электрокардиография (ЭКГ)$УЗИ поджелудочной железы$УЗИ печени$УЗИ желчного пузыря$Электрофорез лекарственный
A08.2,Консультация физиотерапевта$Консультация педиатра$Консультация невролога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Электрокардиография (ЭКГ)$УЗИ поджелудочной железы$УЗИ печени$УЗИ желчного пузыря$Электрофорез лекарственный
A08.3,Консультация физиотерапевта$Консультация педиатра$Консультация невролога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Электрокардиография (ЭКГ)$УЗИ поджелудочной железы$УЗИ печени$УЗИ желчного пузыря$Электрофорез лекарственный
A08.4,Консультация физиотерапевта$Консультация педиатра$Консультация невролога$Консультация инфекциониста$Простейшие в кале$Посев кала на патогенную кишечную флору$Общий анализ крови$Исследования мочи$Исследования кала$Анализ кала на скрытую кровь$Серологическое исследование кала$Электрокардиография (ЭКГ)$УЗИ поджелудочной железы$УЗИ печени$УЗИ желчного пузыря$Электрофорез лекарственный
A08.5,
A15.0,"Консультация фтизиатра$Консультация торакального хирурга$Консультация офтальмолога$Общий анализ крови$Микроскопическое исследование мокроты$Исследования мочи$Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Определение ДНК Mycobacterium tuberculosis complex (микобактерий туберкулеза) в мокроте, бронхоальвеолярной лаважной жидкости или промывных водах бронхов методом ПЦР$Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на жидких питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на плотных питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к одному препарату включая резервные на жидких питательных средах$Электрокардиография (ЭКГ)$Рентгенография грудной клетки$КТ легких$Внутрикожный тест$Бронхоскопия$Эндоскопическая клапанная бронхоблокация$Бронхоальвеолярный лаваж$Наложение пневмоперитонеума$Биопсия средостения под контролем ультразвукового исследования"
A15.1,"Консультация фтизиатра$Консультация торакального хирурга$Консультация офтальмолога$Общий анализ крови$Микроскопическое исследование мокроты$Исследования мочи$Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Определение ДНК Mycobacterium tuberculosis complex (микобактерий туберкулеза) в мокроте, бронхоальвеолярной лаважной жидкости или промывных водах бронхов методом ПЦР$Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на жидких питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на плотных питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к одному препарату включая резервные на жидких питательных средах$Электрокардиография (ЭКГ)$Рентгенография грудной клетки$КТ легких$Внутрикожный тест$Бронхоскопия$Эндоскопическая клапанная бронхоблокация$Бронхоальвеолярный лаваж$Наложение пневмоперитонеума$Биопсия средостения под контролем ультразвукового исследования"
A15.2,"Консультация фтизиатра$Консультация торакального хирурга$Консультация офтальмолога$Общий анализ крови$Микроскопическое исследование мокроты$Исследования мочи$Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Определение ДНК Mycobacterium tuberculosis complex (микобактерий туберкулеза) в мокроте, бронхоальвеолярной лаважной жидкости или промывных водах бронхов методом ПЦР$Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на жидких питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на плотных питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к одному препарату включая резервные на жидких питательных средах$Электрокардиография (ЭКГ)$Рентгенография грудной клетки$КТ легких$Внутрикожный тест$Бронхоскопия$Эндоскопическая клапанная бронхоблокация$Бронхоальвеолярный лаваж$Наложение пневмоперитонеума$Биопсия средостения под контролем ультразвукового исследования"
A15.3,"Консультация фтизиатра$Консультация торакального хирурга$Консультация офтальмолога$Общий анализ крови$Микроскопическое исследование мокроты$Исследования мочи$Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Определение ДНК Mycobacterium tuberculosis complex (микобактерий туберкулеза) в мокроте, бронхоальвеолярной лаважной жидкости или промывных водах бронхов методом ПЦР$Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на жидких питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на плотных питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к одному препарату включая резервные на жидких питательных средах$Электрокардиография (ЭКГ)$Рентгенография грудной клетки$КТ легких$Внутрикожный тест$Бронхоскопия$Эндоскопическая клапанная бронхоблокация$Бронхоальвеолярный лаваж$Наложение пневмоперитонеума$Биопсия средостения под контролем ультразвукового исследования"
A15.4,"Консультация фтизиатра$Консультация торакального хирурга$Консультация офтальмолога$Общий анализ крови$Микроскопическое исследование мокроты$Исследования мочи$Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Определение ДНК Mycobacterium tuberculosis complex (микобактерий туберкулеза) в мокроте, бронхоальвеолярной лаважной жидкости или промывных водах бронхов методом ПЦР$Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на жидких питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на плотных питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к одному препарату включая резервные на жидких питательных средах$Электрокардиография (ЭКГ)$Рентгенография грудной клетки$КТ легких$Внутрикожный тест$Бронхоскопия$Эндоскопическая клапанная бронхоблокация$Бронхоальвеолярный лаваж$Наложение пневмоперитонеума$Биопсия средостения под контролем ультразвукового исследования"
A15.5,"Консультация фтизиатра$Консультация торакального хирурга$Консультация офтальмолога$Общий анализ крови$Микроскопическое исследование мокроты$Исследования мочи$Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Определение ДНК Mycobacterium tuberculosis complex (микобактерий туберкулеза) в мокроте, бронхоальвеолярной лаважной жидкости или промывных водах бронхов методом ПЦР$Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на жидких питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на плотных питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к одному препарату включая резервные на жидких питательных средах$Электрокардиография (ЭКГ)$Рентгенография грудной клетки$КТ легких$Внутрикожный тест$Бронхоскопия$Эндоскопическая клапанная бронхоблокация$Бронхоальвеолярный лаваж$Наложение пневмоперитонеума$Биопсия средостения под контролем ультразвукового исследования"
A15.6,"Консультация фтизиатра$Консультация торакального хирурга$Консультация офтальмолога$Общий анализ крови$Микроскопическое исследование мокроты$Исследования мочи$Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Определение ДНК Mycobacterium tuberculosis complex (микобактерий туберкулеза) в мокроте, бронхоальвеолярной лаважной жидкости или промывных водах бронхов методом ПЦР$Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на жидких питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к противотуберкулезным препаратам первого ряда на плотных питательных средах$Микробиологическое (культуральное) исследование для определения чувствительности (Mycobacterium tuberculosis complex) к одному препарату включая резервные на жидких питательных средах$Электрокардиография (ЭКГ)$Рентгенография грудной клетки$КТ легких$Внутрикожный тест$Бронхоскопия$Эндоскопическая клапанная бронхоблокация$Бронхоальвеолярный лаваж$Наложение пневмоперитонеума$Биопсия средостения под контролем ультразвукового исследования"
