mkb_code;recommendation;del_freq;use_freq;type
A00.1|A00.9;Прием (осмотр, консультация) врача - детского кардиолога первичный;0,1;1;pr
A00.1|A00.9;Прием (осмотр, консультация) врача- невролога первичный;0,01;1;pr
A00.1|A00.9;Проведение реакции Вассермана (RW);0,05;1;li
A00.1|A00.9;Серологическое исследование кала;1;1;li
A00.1|A00.9;Бактериологическое исследование крови на стерильность;0,05;1;li
A00.1|A00.9;Определение антител классов M, G (IgG, IgM) к вирусу гепатита A (Hepatitis A virus) в крови;0,01;1;li
A00.1|A00.9;Определение антигена к вирусу гепатита B (HBsAg Hepatitis B virus) в крови;0,05;1;li
A00.1|A00.9;Определение антител классов M, G (IgM, IgG) к вирусу иммунодефицита человека ВИЧ-1 (Human immunodeficiency virus HIV 1) в крови;0,05;1;li
A00.1|A00.9;Определение антител классов M, G (IgM, IgG) к вирусу иммунодефицита человека ВИЧ-2 (Human immunodeficiency virus HIV 2) в крови;0,05;1;li
A00.1|A00.9;Ультразвуковое исследование органов брюшной полости (комплексное);0,1;1;im
A00.1|A00.9;Ультразвуковое исследование почек и надпочечников;0,3;1;im
A00.1|A00.9;Регистрация электрокардиограммы;1;1;im
A00.1|A00.9;Рентгенография легких;0,05;1;im
A00.1|A00.9;Обзорный снимок брюшной полости и органов малого таза;0,05;1;im
A00.1|A00.9;Исследование уровня общего кальция в крови;0,1;1;li
A00.1|A00.9;Бактериологическое исследование крови на стерильность;0,01;1;li
A00.1|A00.9;Общий (клинический) анализ крови развернутый;1;2;li
A00.1|A00.9;Анализ крови биохимический общетерапевтический;1;2;li
A00.1|A00.9;Анализ мочи общий;1;2;li
A00.1|A00.9;Копрологическое исследование;1;2;li
A00.1|A00.9;Ультразвуковое исследование лимфатических узлов (одна анатомическая зона);0,1;1;im
A00.1|A00.9;Ультразвуковое исследование почек и надпочечников;0,1;1;im
A00.1|A00.9;Осмотр (консультация) врачом-анестезиологом- реаниматологом первичный;0,5;1;pr
A00.1|A00.9;Прием (осмотр, консультация) врача- детского хирурга первичный;0,05;1;pr
A00.1|A00.9;Прием (осмотр, консультация) врача- детского кардиолога первичный;0,2;1;pr
A00.1|A00.9;Прием (осмотр, консультация) врача- невролога первичный;0,2;1;pr
A00.1|A00.9;Исследование концентрации водородных ионов (pH) крови;1;1;li
A00.1|A00.9;Исследование уровня щелочной фосфатазы в крови;0,15;1;li
A00.1|A00.9;Исследование уровня прокальцитонина в крови;0,1;1;li
A00.1|A00.9;Исследование кала на наличие токсина клостридии диффициле (Clostridium difficile);0,05;1;li
A00.1|A00.9;Определение основных групп крови (A, B, 0);0,01;2;li
A00.1|A00.9;Определение резус- принадлежности;0,01;2;li
A00.1|A00.9;Проведение реакции Вассермана (RW);0,01;1;li
A00.1|A00.9;Бактериологическое исследование крови на стерильность;0,3;1;li
A00.1|A00.9;Определение антител классов M, G (IgG, IgM) к вирусу гепатита A (Hepatitis A virus) в крови;0,05;1;li
A00.1|A00.9;Определение антител к сероварам иерсинии энтероколитика (Yersinia enterocolitica) в крови;0,1;1;li
A00.1|A00.9;Определение антител классов M, G (IgM, IgG) к иерсинии энтероколитика (Yersinia enterocolitica) в крови;0,1;1;li
A00.1|A00.9;Определение антител классов M, G (IgM, IgG) к иерсинии псевдотуберкулеза (Yersinia pseudotuberculosis) в крови;0,1;1;li
A00.1|A00.9;Бактериологическое исследование кала на иерсинии (Yersinia spp.);0,1;1;li
A00.1|A00.9;Ультразвуковое исследование лимфатических узлов (одна анатомическая зона);0,25;1;im
A00.1|A00.9;Эхокардиография;0,25;1;im
A00.1|A00.9;Ультразвуковое исследование органов брюшной полости (комплексное);0,2;1;im
A00.1|A00.9;Ультразвуковое исследование головного мозга;0,05;1;im
A00.1|A00.9;Ультразвуковое исследование почек и надпочечников;0,25;1;im
A00.1|A00.9;Электроэнцефалография;0,05;1;im
A00.1|A00.9;Исследование уровня общего кальция в крови;0,25;1;li
A00.1|A00.9;Общий (клинический) анализ крови развернутый;1;3;li
A00.1|A00.9;Анализ мочи общий;1;3;li
A00.1|A00.9;Эхокардиография;0,5;1;im
A00.1|A00.9;Ультразвуковое исследование органов брюшной полости (комплексное);1;1;im
A00.1|A00.9;Ультразвуковое исследование почек и надпочечников;1;1;im
A01.0;Прием (осмотр, консультация) врача - детского хирурга первичный;0,1;1;pr
A01.0;Прием (осмотр, консультация) врача- инфекциониста первичный;1;1;pr
A01.0;Прием (осмотр, консультация) врача- педиатра первичный;0,5;1;pr
A01.0;Наименование медицинской услуги;Усредненный показатель частоты предоставления;Усредненный показатель кратности применения;im
A01.0;Исследование кала на скрытую кровь;1;1;im
A01.0;Исследование кала на простейшие и яйца гельминтов;1;1;im
A01.0;Бактериологическое исследование крови на стерильность;1;1;im
A01.0;Определение антител классов M, G (IgG, IgM) к вирусу гепатита A (Hepatitis A virus) в крови;0,1;1;im
A01.0;Определение антигена к вирусу гепатита B (HBsAg Hepatitis B virus) в крови;0,1;1;im
A01.0;Определение антител к сальмонелле кишечной (Salmonella enterica) в крови;1;1;im
A01.0;Определение антител к сальмонелле тифи (Salmonella typhi) в крови;1;1;im
A01.0;Определение антител классов M, G (IgM, IgG) к шигелле Боуди (Shigella boudii) в крови;1;1;im
A01.0;Определение антител классов M, G (IgM, IgG) к шигелле дизентерии (Shigella dysenterie) в крови;1;1;im
A01.0;Определение антител классов M, G (IgM, IgG) к шигелле Зонне (Shigella zonnei) в крови;1;1;im
A01.0;Определение антител классов M, G (IgM, IgG) к шигелле Флекснера (Shigella folexneri) в крови;1;1;im
A01.0;Бактериологическое исследование кала на возбудителя дизентерии (Shigella spp.);1;1;im
A01.0;Бактериологическое исследование кала на тифо- паратифозные микроорганизмы (Salmonella typhi);1;1;im
A01.0;Бактериологическое исследование кала на сальмонеллы (Salmonella spp.);1;1;im
A01.0;Бактериологическое исследование кала на кампилобактерии (Campylobacter spp.);1;1;im
A01.0;Бактериологическое исследование кала на аэробные и факультативно- анаэробные микроорганизмы;1;1;im
A01.0;Определение чувствительности микроорганизмов к антибиотикам и другим лекарственным препаратам;1;1;im
A01.0;Общий (клинический) анализ крови развернутый;1;1;im
A01.0;Анализ крови биохимический общетерапевтический;1;1;im
A01.0;Анализ мочи общий;1;1;im
A01.0;Копрологическое исследование;1;1;im
A01.0;Ультразвуковое исследование лимфатических узлов (одна анатомическая зона);1;1;im
A01.0;Эхокардиография;0,25;1;im
A01.0;Ультразвуковое исследование органов брюшной полости (комплексное);1;1;im
A01.0;Ультразвуковое исследование почек;1;1;im
A01.0;Регистрация электрокардиограммы;1;1;im
A01.0;Прием (осмотр, консультация) врача- детского хирурга повторный;0,1;1;im
A01.0;Ежедневный осмотр врачом- инфекционистом с наблюдением и уходом среднего и младшего медицинского персонала в отделении стационара;1;23;im
A01.0;Прием (осмотр, консультация) врача- педиатра повторный;0,2;3;im
A01.0;Определение альбумин/глобулинового соотношения в крови;0,2;1;im
A01.0;Исследование уровня глобулиновых фракций в крови;0,2;1;im
A01.0;Исследование уровня амилазы в крови;0,2;1;im
A01.0;Исследование уровня щелочной фосфатазы в крови;0,2;1;im
A01.0;Исследование кала на скрытую кровь;1;4;im
A01.0;Бактериологическое исследование желчи на сальмонеллу тифа (Salmonella typhi);0,2;1;im
A01.0;Бактериологическое исследование кала на тифо- паратифозные микроорганизмы (Salmonella typhi);1;2;im
A01.0;Микробиологическое исследование мочи на аэробные и факультативно- анаэробные условно- патогенные микроорганизмы;1;2;im
A01.0;Определение чувствительности микроорганизмов к антибиотикам и другим лекарственным препаратам;1;5;im
A01.0;Общий (клинический) анализ крови развернутый;1;2;im
A01.0;Анализ крови биохимический общетерапевтический;0,5;1;im
A01.0;Анализ мочи общий;1;2;im
A01.0;Копрологическое исследование;1;4;im
A01.0;Ультразвуковое исследование лимфатических узлов (одна анатомическая зона);0,5;1;im
A01.0;Эхокардиография;0,1;1;im
A01.0;Ультразвуковое исследование органов брюшной полости (комплексное);0,5;1;im
A01.0;Ультразвуковое исследование почек;0,25;1;im
A01.0;Регистрация электрокардиограммы;0,1;1;im
A01.0;Прием (осмотр, консультация) врача - детского хирурга первичный;0,25;1;pr
A01.0;Прием (осмотр, консультация) врача - детского кардиолога первичный;0,2;1;pr
A01.0;Прием (осмотр, консультация) врача- невролога первичный;0,2;1;pr
A01.0;Прием (осмотр, консультация) врача- оториноларинголога первичный;0,1;1;pr
A01.0;Прием (осмотр, консультация) врача- педиатра первичный;0,4;1;pr
A01.0;Определение альбумин/глобулинового соотношения в крови;1;1;li
A01.0;Исследование уровня глобулиновых фракций в крови;1;1;li
A01.0;Исследование уровня амилазы в крови;1;1;li
A01.0;Исследование эндотоксина в крови;0,25;1;li
A01.0;Исследование кала на скрытую кровь;1;1;li
A01.0;Исследование кала на простейшие и яйца гельминтов;1;1;li
A01.0;Бактериологическое исследование крови на стерильность;1;1;li
A01.0;"Микроскопическое исследование ""толстой капли"" мазка крови на малярийные плазмодии (Plasmodium)";1;1;li
A01.0;Определение антител классов M, G (IgG, IgM) к вирусу гепатита A (Hepatitis A virus) в крови;0,1;1;li
A01.0;Определение антигена к вирусу гепатита B (HBsAg Hepatitis B virus) в крови;0,1;1;li
A01.0;Определение антител классов M, G (IgM, IgG) к вирусу иммунодефицита человека ВИЧ-1 (Human immunodeficiency virus HIV 1) в крови;0,1;1;li
A01.0;Определение антител классов M, G (IgM, IgG) к вирусу, иммунодефицита человека ВИЧ-2 (Human immunodeficiency virus HIV 2) в крови;0,1;1;li
A01.0;Определение антител к сальмонелле кишечной (Salmonella enterica) в крови;1;1;li
A01.0;Определение антител к сальмонелле тифи (Salmonella typhi) в крови;1;1;li
A01.0;Определение антител классов M, G (IgM, IgG) к иерсинии энтероколитика (Yersinia enterocolitica) в крови;0,2;1;li
A01.0;Определение антител классов M, G (IgM, IgG) к иерсинии псевдотуберкулеза (Yersinia pseudotuberculosis) в крови;0,2;1;li
A01.0;Определение антител классов M, G (IgM, IgG) к шигелле Боуди (Shigella boudii) в крови;1;1;li
A01.0;Определение антител классов M, G (IgM, IgG) к шигелле дизентерии (Shigella dysenterie) в крови;1;1;li
A01.0;Определение антител классов M, G (IgM, IgG) к шигелле Зонне (Shigella zonnei) в крови;1;1;li
A01.0;Определение антител классов M, G (IgM, IgG) к шигелле Флекснера (Shigella fplexneri) в крови;1;1;li
A01.0;Бактериологическое исследование кала на возбудителя дизентерии (Shigella spp.);1;1;li
A01.0;Бактериологическое исследование кала на тифо-паратифозные микроорганизмы (Salmonella typhi);1;1;li
A01.0;Бактериологическое исследование кала на сальмонеллы (Salmonella spp.);1;1;li
A01.0;Бактериологическое исследование кала на иерсинии (Yersinia spp.);0,2;1;li
A01.0;Бактериологическое исследование кала на кампилобактерии (Campylobacter spp.);1;1;li
A01.0;Бактериологическое исследование кала на аэробные и факультативноанаэробные микроорганизмы;1;1;li
A01.0;Определение чувствительности микроорганизмов к антибиотикам и другим лекарственным препаратам;1;1;li
A01.0;Комплекс исследований для диагностики менингита;0,2;1;li
A01.0;Общий (клинический) анализ крови развернутый;1;1;li
A01.0;Анализ крови биохимический общетерапевтический;1;1;li
A01.0;Анализ мочи общий;1;1;li
A01.0;Копрологическое исследование;1;1;li
A01.0;Эхокардиография;1;1;im
A01.0;Рентгенография легких;0,2;1;im
A01.0;Исследование уровня железа сыворотки крови;1;1;li
A01.0;Определение альбумин/глобулинового соотношения в крови;1;2;li
A01.0;Исследование уровня глобулиновых фракций в крови;1;2;li
A01.0;Исследование уровня амилазы в крови;1;2;li
A01.0;Исследование уровня щелочной фосфатазы в крови;1;1;li
A01.0;Исследование кала на скрытую кровь;1;4;li
A01.0;Исследование кала на наличие токсина клостридии диффициле (Clostridium difficile);0,5;1;li
A01.0;Бактериологическое исследование крови на стерильность;1;2;li
A01.0;Исследование микробиоценоза кишечника (дисбактериоз);0,2;1;li
A01.0;Определение антител к сальмонелле тифи (Salmonella typhi) в крови;1;2;li
A01.0;Бактериологическое исследование желчи на сальмонеллу тифа (Salmonella typhi);0,5;1;li
A01.0;Бактериологическое исследование кала на тифо-паратифозные микроорганизмы (Salmonella typhi);1;4;li
A01.0;Бактериологическое исследование кала на клостридии (Clostridium spp.);0,3;2;li
A01.0;Бактериологическое исследование кала на аэробные и факультативно-анаэробные микроорганизмы;0,3;1;li
A01.0;Микробиологическое исследование мочи на аэробные и факультативно- анаэробные условно- патогенные микроорганизмы;1;3;li
A01.0;Определение чувствительности микроорганизмов к антибиотикам и другим лекарственным препаратам;1;12;li
A01.0;Исследование иммунологического статуса при смешанном иммунодефиците;0,2;2;li
A01.0;Общий (клинический) анализ крови развернутый;1;6;li
A01.0;Анализ крови биохимический общетерапевтический;1;4;li
A01.0;Анализ мочи общий;1;4;li
A01.0;Копрологическое исследование;1;6;li
A01.0;Ультразвуковое исследование лимфатических узлов (одна анатомическая зона);1;2;im
A01.0;Ультразвуковое исследование органов брюшной полости (комплексное);1;2;im
A01.0;Рентгенография легких;0,1;1;im
A01.0;Осмотр (консультация) врачом-анестезиологом- реаниматологом первичный;1;1;pr
A01.0;Прием (осмотр, консультация) врача - детского хирурга первичный;0,8;1;pr
A01.0;Прием (осмотр, консультация) врача - детского кардиолога первичный;0,8;1;pr
A01.0;Прием (осмотр, консультация) врача- невролога первичный;1;1;pr
A01.0;Прием (осмотр, консультация) врача- оториноларинголога первичный;0,8;1;pr
A01.0;Осмотр (консультация) врача-физиотерапевта;0,1;1;pr
A01.0;Определение антител классов M, G (IgM, IgG) к вирусу иммунодефицита человека ВИЧ-2 (Human immunodeficiency virus HIV 2) в крови;0,1;1;li
A01.0;Бактериологическое исследование кала на тифо- паратифозные микроорганизмы (Salmonella typhi);1;1;li
A01.0;Бактериологическое исследование кала на аэробные и факультативно- анаэробные микроорганизмы;1;1;li
A01.0;Лабораторный контроль за лечением синдрома диссеминированного внутрисосудистого свертывания крови;0,8;1;li
A01.0;Рентгенография легких;1;1;im
A02.0;Прием (осмотр, консультация) врача-акушера-гинеколога первичный;0,1;1;pr
A02.0;Прием (осмотр, консультация) врача-инфекциониста первичный;1;1;pr
A02.0;Прием (осмотр, консультация) врача-хирурга первичный;0,2;1;pr
A02.0;Исследование уровня стеркобилина в кале;1;1;li
A02.0;Исследование кала на простейшие и яйца гельминтов;0,1;1;li
A02.0;Проведение реакции Вассермана (RW);1;1;li
A02.0;Определение антигена к вирусу гепатита B (HBsAg Hepatitis B virus) в крови;0,1;1;li
A02.0;Определение антител классов M, G (IgM, IgG) к вирусному гепатиту C (Hepatitis C virus) в крови;0,1;1;li
A02.0;Определение антител классов M, G (IgM, IgG) к вирусу иммунодефицита человека ВИЧ- 1 (Human immunodeficiency virus HIV 1) в крови;0,1;1;li
A02.0;Определение антител классов M, G (IgM, IgG) к вирусу иммунодефицита человека ВИЧ- 2 (Human immunodeficiency virus HIV 2) в крови;0,1;1;li
A02.0;Определение антител к сальмонелле кишечной (Salmonella enterica) в крови;0,5;1;li
A02.0;Бактериологическое исследование кала на возбудителя дизентерии (Shigella spp.);1;1;li
A02.0;Бактериологическое исследование кала на тифо- паратифозные микроорганизмы (Salmonella typhi);1;1;li
A02.0;Бактериологическое исследование кала на сальмонеллы (Salmonella spp.);1;1;li
A02.0;Бактериологическое исследование кала на иерсинии (Yersinia spp.);0,5;1;li
A02.0;Бактериологическое исследование кала на кампилобактерии (Campylobacter spp.);0,1;1;li
A02.0;Бактериологическое исследование кала на клостридии (Clostridium spp.);0,1;1;li
A02.0;Микроскопическое исследование кала на простейшие;0,1;1;li
A02.0;Микроскопическое исследование кала на криптоспоридии (Cryptosporidium parvum);0,1;1;li
A02.0;Общий (клинический) анализ крови;1;1;li
A02.0;Анализ крови биохимический общетерапевтический;1;1;li
A02.0;Анализ мочи общий;1;1;li
A02.0;Копрологическое исследование;1;1;li
A02.0;Эзофагогастродуоденоскопия;0,05;1;im
A02.0;Толстокишечная эндоскопия;0,05;1;im
A02.0;Ультразвуковое исследование органов брюшной полости (комплексное);0,2;1;im
A02.0;Регистрация электрокардиограммы;1;1;im
A02.0;Мониторирование электрокардиографических данных;1;1;im
A02.0;Флюорография легких цифровая;1;1;im
A02.0;Исследование микробиоценоза кишечника (дисбактериоз);0,1;1;li
A02.0;Копрологическое исследование;0,1;1;li
A02.0;Ультразвуковое исследование органов брюшной полости (комплексное);0,1;1;im
A02.0;Регистрация электрической активности проводящей системы сердца;0,1;1;im
A02.0;Рентгенография легких;0,4;1;im
A02.0;Прием (осмотр, консультация) врача- детского хирурга первичный;0,1;1;pr
A02.0;Прием (осмотр, консультация) врача- инфекциониста первичный;1;1;pr
A02.0;Прием (осмотр, консультация) врача- детского кардиолога первичный;0,01;1;pr
A02.0;Прием (осмотр, консультация) врача- невролога первичный;0,05;1;pr
A02.0;Прием (осмотр, консультация) врача- оториноларинголога первичный;0,05;1;pr
A02.0;Прием (осмотр, консультация) врача- офтальмолога первичный;0,01;1;pr
A02.0;Прием (осмотр, консультация) врача- педиатра первичный;0,5;1;pr
A02.0;Исследование кала на скрытую кровь;1;1;li
A02.0;Исследование концентрации водородных ионов (pH) в кале;0,25;1;li
A02.0;Исследование кала на простейшие и яйца гельминтов;1;1;li
A02.0;Цитологическое исследование клеток спинномозговой жидкости;0,01;1;li
A02.0;Определение крови в спинномозговой жидкости;0,01;1;li
A02.0;Исследование уровня глюкозы в спинномозговой жидкости;0,01;1;li
A02.0;Исследование уровня белка в спинномозговой жидкости;0,01;1;li
A02.0;Тесты на аномальный белок в спинномозговой жидкости;0,01;1;li
A02.0;Исследование физических свойств спинномозговой жидкости;0,01;1;li
A02.0;Исследование концентрации водородных ионов (pH) в спинномозговой жидкости;0,01;1;li
A02.0;Микроскопическое исследование спинномозговой жидкости, подсчет клеток в счетной камере (определение цитоза);0,01;1;li
A02.0;Исследование времени кровотечения;0,7;1;li
A02.0;Проведение реакции Вассермана (RW);0,05;1;li
A02.0;Микроскопическое исследование отпечатков с поверхности кожи перианальных складок на яйца остриц (Enterobius vermicularis);1;1;li
A02.0;Бактериологическое исследование крови на стерильность;0,05;1;li
A02.0;Определение антител классов M, G (IgG, IgM) к вирусу гепатита A (Hepatitis A virus) в крови;0,01;1;li
A02.0;Определение антигена к вирусу гепатита B (HBsAg Hepatitis B virus) в крови;0,05;1;li
A02.0;Определение антител классов M, G (IgM, IgG) к вирусу иммунодефицита человека ВИЧ-1 (Human immunodeficiency virus HIV 1) в крови;0,05;1;li
A02.0;Определение антител классов M, G (IgM, IgG) к вирусу иммунодефицита человека ВИЧ-2 (Human immunodeficiency virus HIV 2) в крови;0,05;1;li
A02.0;Определение антител к сальмонелле кишечной (Salmonella enterica) в крови;1;1;li
A02.0;Определение антител к сальмонелле паратифа A (Salmonella paratyphy A) в крови;1;1;li
A02.0;Определение антител к сальмонелле паратифа B (Salmonella paratyphy B) в крови;1;1;li
A02.0;Определение антител к сальмонелле тифи (Salmonella typhi) в крови;1;1;li
A02.0;Определение антител к сероварам иерсинии энтероколитика (Yersinia enterocolitica) в крови;0,2;1;li
A02.0;Определение антител классов M, G (IgM, IgG) к иерсинии псевдотуберкулеза (Yersinia pseudotuberculosis) в крови;0,2;1;li
A02.0;Определение антител классов M, G (IgM, IgG) к шигелле Боуди (Shigella boudii) в крови;1;1;li
A02.0;Определение антител классов M, G (IgM, IgG) к шигелле дизентерии (Shigella dysenterie) в крови;1;1;li
A02.0;Определение антител классов M, G (IgM, IgG) к шигелле Зонне (Shigella zonnei) в крови;1;1;li
A02.0;Определение антител классов M, G (IgM, IgG) к шигелле Флекснера (Shigella fplexneri) в крови;1;1;li
A02.0;Бактериологическое исследование кала на возбудителя дизентерии (Shigella spp.);1;2;li
A02.0;Бактериологическое исследование кала на тифо-паратифозные микроорганизмы (Salmonella typhi);1;2;li
A02.0;Бактериологическое исследование кала на сальмонеллы (Salmonella spp.);1;2;li
A02.0;Бактериологическое исследование кала на иерсинии (Yersinia spp.);0,2;1;li
A02.0;Бактериологическое исследование кала на кампилобактерии (Campylobacter spp.);1;1;li
A02.0;Бактериологическое исследование кала на холеру (Vibrio spp.);0,05;1;li
A02.0;Бактериологическое исследование кала на аэробные и факультативно- анаэробные микроорганизмы;1;2;li
A02.0;Определение чувствительности микроорганизмов к антибиотикам и другим лекарственным препаратам;1;2;li
A02.0;Определение чувствительности микроорганизмов к бактериофагам;1;2;li
A02.0;Общий (клинический) анализ крови развернутый;1;1;li
A02.0;Ультразвуковое исследование лимфатических узлов (одна анатомическая зона);0,1;1;im
A02.0;Ультразвуковое исследование головного мозга;0,01;1;im
A02.0;Ультразвуковое исследование почек и надпочечников;0,1;1;im
A02.0;Регистрация электрокардиограммы;0,3;1;im
A02.0;Электроэнцефалография;0,01;1;im
A02.0;Рентгенография легких;0,05;1;im
A02.0;Обзорный снимок брюшной полости и органов малого таза;0,05;1;im
A02.0;Просмотр мазка крови для анализа аномалий морфологии эритроцитов, тромбоцитов и лейкоцитов;0,05;1;li
A02.0;Исследование уровня общего кальция в крови;0,1;1;li
A02.0;Исследование кала на наличие токсина клостридии диффициле (Clostridium difficile);0,15;1;li
A02.0;Исследование времени кровотечения;0,1;1;li
A02.0;Бактериологическое исследование крови на стерильность;0,01;1;li
A02.0;Микологическое исследование кала на грибы рода кандида (Candida spp.);0,2;1;li
A02.0;Микробиологическое исследование мочи на аэробные и факультативно- анаэробные условно- патогенные микроорганизмы;0,5;1;li
A02.0;Общий (клинический) анализ крови развернутый;1;2;li
A02.0;Анализ крови биохимический общетерапевтический;0,5;1;li
A02.0;Копрологическое исследование;1;2;li
A02.0;Ультразвуковое исследование лимфатических узлов (одна анатомическая зона);0,7;1;im
A02.0;Ультразвуковое исследование органов брюшной полости (комплексное);0,7;1;im
A02.0;Ультразвуковое исследование почек и надпочечников;0,5;1;im
A02.0;Прием (осмотр, консультация) врача-акушера-гинеколога первичный;0,2;1;pr
A02.0;Прием (осмотр, консультация) врача-хирурга первичный;0,4;1;pr
A02.0;Бактериологическое исследование крови на стерильность;1;1;li
A02.0;Бактериологическое исследование крови на тифо- паратифозную группу микроорганизмов;1;1;li
A02.0;Бактериологическое исследование кала на холеру (Vibrio spp.);0,5;1;li
A02.0;Бактериологическое исследование кала на аэробные и факультативно- анаэробные микроорганизмы;1;1;li
A02.0;Микологическое исследование кала на грибы рода кандида (Candida spp.);0,1;1;li
A02.0;Эзофагогастродуоденоскопия;0,1;1;im
A02.0;Толстокишечная эндоскопия;0,2;1;im
A02.0;Ультразвуковое исследование органов брюшной полости (комплексное);1;1;im
A02.0;Исследование микробиоценоза кишечника (дисбактериоз);0,2;1;li
A02.0;Общий (клинический) анализ крови;1;2;li
A02.0;Анализ крови биохимический общетерапевтический;1;2;li
A02.0;Анализ мочи общий;1;2;li
A02.0;Копрологическое исследование;0,4;1;li
A02.0;Эзофагогастродуоденоскопия;0,2;1;im
A02.0;Толстокишечная эндоскопия;0,1;1;im
A02.0;Ультразвуковое исследование органов брюшной полости (комплексное);0,5;1;im
A02.0;Регистрация электрокардиограммы;0,5;1;im
A02.0;Прием (осмотр, консультация) врача- акушера-гинеколога первичный;0,2;1;pr
A02.0;Прием (осмотр, консультация) врача- хирурга первичный;0,4;1;pr
A02.0;Наименование медицинской услуги;Усредненный показатель частоты предоставления;Усредненный показатель кратности применения;im
A02.0;Исследование уровня стеркобилина в кале;1;1;im
A02.0;Исследование кала на простейшие и яйца гельминтов;0,1;1;im
A02.0;Проведение реакции Вассермана (RW);1;1;im
A02.0;Определение антигена к вирусу гепатита B (HBsAg Hepatitis B virus) в крови;0,1;1;im
A02.0;Определение антител классов M, G (IgM, IgG) к вирусному гепатиту C (Hepatitis C virus) в крови;0,1;1;im
A02.0;Определение антител классов M, G (IgM, IgG) к вирусу иммунодефицита человека ВИЧ-1 (Human immunodeficiency virus HIV 1) в крови;0,1;1;im
A02.0;Определение антител классов M, G (IgM, IgG) к вирусу иммунодефицита человека ВИЧ-2 (Human immunodeficiency virus HIV 2) в крови;0,1;1;im
A02.0;Определение антител к сальмонелле кишечной (Salmonella enterica) в крови;0,5;1;im
A02.0;Бактериологическое исследование кала на возбудителя дизентерии (Shigella spp.);1;1;im
A02.0;Бактериологическое исследование кала на тифо- паратифозные микроорганизмы (Salmonella typhi);1;1;im
A02.0;Бактериологическое исследование кала на сальмонеллы (Salmonella spp.);1;1;im
A02.0;Бактериологическое исследование кала на иерсинии (Yersinia spp.);0,5;1;im
A02.0;Бактериологическое исследование кала на кампилобактерии (Campylobacter spp.);0,1;1;im
A02.0;Бактериологическое исследование кала на холеру (Vibrio spp.);0,5;1;im
A02.0;Бактериологическое исследование кала на клостридии (Clostridium spp.);0,1;1;im
A02.0;Бактериологическое исследование кала на аэробные и факультативно- анаэробные микроорганизмы;1;1;im
A02.0;Микологическое исследование кала на грибы рода кандида (Candida spp.);0,1;1;im
